,Column Labels,,,
,Sep,Oct,Nov,Grand Total
Row Labels,,,,
Sum of newDeaths28DaysByPublishDate.y,0,7,16,23
E06000033,,,,
Southend-on-Sea,,,,
Sum of newDeaths28DaysByDeathDate.x,0,1,4,5
Sum of newDeaths28DaysByPublishDate.x,0,1,4,5
Sum of newDeaths28DaysByDeathDate.y,0,1,9,10
Sum of newDeaths28DaysByPublishDate.y,0,1,6,7
E06000034,,,,
Thurrock,,,,
Sum of newDeaths28DaysByDeathDate.x,0,30,23,53
Sum of newDeaths28DaysByPublishDate.x,1,19,34,54
Sum of newDeaths28DaysByDeathDate.y,0,30,32,62
Sum of newDeaths28DaysByPublishDate.y,1,19,41,61
E06000035,,,,
Medway,,,,
Sum of newDeaths28DaysByDeathDate.x,1,7,20,28
Sum of newDeaths28DaysByPublishDate.x,2,6,22,30
Sum of newDeaths28DaysByDeathDate.y,1,8,32,41
Sum of newDeaths28DaysByPublishDate.y,2,6,28,36
E06000036,,,,
Bracknell Forest,,,,
Sum of newDeaths28DaysByDeathDate.x,1,4,1,6
Sum of newDeaths28DaysByPublishDate.x,0,5,1,6
Sum of newDeaths28DaysByDeathDate.y,2,4,4,10
Sum of newDeaths28DaysByPublishDate.y,0,5,8,13
E06000037,,,,
West Berkshire,,,,
Sum of newDeaths28DaysByDeathDate.x,1,6,3,10
Sum of newDeaths28DaysByPublishDate.x,1,5,6,12
Sum of newDeaths28DaysByDeathDate.y,1,6,4,11
Sum of newDeaths28DaysByPublishDate.y,1,5,7,13
E06000038,,,,
Reading,,,,
Sum of newDeaths28DaysByDeathDate.x,2,13,8,23
Sum of newDeaths28DaysByPublishDate.x,1,13,9,23
Sum of newDeaths28DaysByDeathDate.y,2,14,9,25
Sum of newDeaths28DaysByPublishDate.y,1,13,11,25
E06000039,,,,
Slough,,,,
Sum of newDeaths28DaysByDeathDate.x,2,4,10,16
Sum of newDeaths28DaysByPublishDate.x,1,2,13,16
Sum of newDeaths28DaysByDeathDate.y,2,4,12,18
Sum of newDeaths28DaysByPublishDate.y,1,2,16,19
E06000040,,,,
Windsor and Maidenhead,,,,
Sum of newDeaths28DaysByDeathDate.x,4,5,8,17
Sum of newDeaths28DaysByPublishDate.x,3,6,9,18
Sum of newDeaths28DaysByDeathDate.y,5,5,10,20
Sum of newDeaths28DaysByPublishDate.y,3,6,10,19
E06000041,,,,
Wokingham,,,,
Sum of newDeaths28DaysByDeathDate.x,2,10,8,20
Sum of newDeaths28DaysByPublishDate.x,1,10,9,20
Sum of newDeaths28DaysByDeathDate.y,2,10,10,22
Sum of newDeaths28DaysByPublishDate.y,1,10,10,21
E06000042,,,,
Milton Keynes,,,,
Sum of newDeaths28DaysByDeathDate.x,0,0,7,7
Sum of newDeaths28DaysByPublishDate.x,0,0,7,7
Sum of newDeaths28DaysByDeathDate.y,0,0,19,19
Sum of newDeaths28DaysByPublishDate.y,0,0,17,17
E06000043,,,,
Brighton and Hove,,,,
Sum of newDeaths28DaysByDeathDate.x,0,11,6,17
Sum of newDeaths28DaysByPublishDate.x,0,8,9,17
